Date,Close,MA(10C)s,MA(10C)w,%K(141),%D(3),RSI(14C),MACDHist(12269C),MACD(12269C),MACDSig(12269C),AccDist,CCI(20C),ATR(14)
05/24/21,10318.51,10322.608,10342.069,44.465,45.721,59.193,-22.374,110.431,132.806,1.04E+11,13.136,84.745
05/23/21,10343.86,10322.651,10342.822,46.891,50.27,61.433,-19.702,119.387,139.09,1.04E+11,37.157,86.878
05/20/21,10339.85,10319.202,10338.339,45.806,58.516,61.218,-19.336,126.501,145.838,1.04E+11,40.038,88.958
05/19/21,10372.54,10321.768,10335.051,58.113,65.885,63.923,-18.461,134.149,152.611,1.04E+11,66.607,90.567
05/18/21,10423.51,10326.412,10326.665,71.627,63.663,68.293,-20.75,138.632,159.382,1.05E+11,103.214,92.08
05/17/21,10396.44,10337.183,10310.969,67.913,50.179,67.186,-28.638,137.147,165.785,1.05E+11,94.503,91.737
05/10/2021,10322.68,10324.256,10297.844,51.447,41.366,64.01,-35.584,136.013,171.598,1.04E+11,63.906,91.508
05/09/2021,10228.19,10315.094,10296.465,31.177,39.574,59.325,-34.898,140.097,174.996,1.04E+11,27.177,91.279
05/06/2021,10228.35,10306.523,10310.707,41.474,51.636,59.337,-24.522,152.893,177.416,1.04E+11,32.281,93.426
05/05/2021,10252.15,10297.096,10323.207,46.07,61.194,61.064,-10.906,166.986,177.892,1.04E+11,46.919,93.863
05/04/2021,10318.94,10281.417,10328.528,67.364,71.64,66.074,3.237,180.12,176.883,1.04E+11,81.377,94.912
05/03/2021,10309.37,10261.221,10318.034,70.148,77.294,65.699,13.106,187.465,174.358,1.04E+11,87.419,94.466
05/02/2021,10365.51,10240.049,10305.43,77.409,86.859,69.901,23.957,195.086,171.128,1.05E+11,125.14,95.812
04/29/21,10418.98,10208.368,10276.859,84.325,94.389,74.092,29.566,196.26,166.694,1.05E+11,170.096,96.393
04/28/21,10531.22,10165.262,10230.728,98.842,99.614,83.898,27.82,189.46,161.639,1.05E+11,265.205,92.367
04/27/21,10267.17,10096.902,10151.761,100,97.471,77.35,9.57,166.597,157.026,1.04E+11,169.256,78.472
04/26/21,10231.06,10054.013,10113.005,100,96.753,76.117,6.876,161.877,155.0007,1.04E+11,162.133,79.728
04/25/21,10142.48,10021.669,10074.934,92.414,92.595,72.735,2.267,157.174,154.906,1.04E+11,114.667,78.854
04/22/21,10134.08,10001.253,10049.257,97.846,94.325,72.391,0.928,157.905,156.977,1.04E+11,110.26,81.512
04/21/21,10095.36,9989.058,10022.889,87.524,95.043,70.814,-2.597,157.396,159.993,1.04E+11,92.075,84.363
04/20/21,10116.98,9980.952,10002.088,97.604,98.048,72.975,-5.331,158.4,163.731,1.04E+11,101.898,87.253
04/19/21,10097.65,9968.152,9975.028,100,95.721,72.273,-11.886,155.175,167.061,1.04E+11,97.929,90.987
04/18/21,10048.7,9954.871,9949.068,96.541,85.358,70.467,-19.273,150.771,170.044,1.04E+11,86.202,91.042
04/15/21,9987.92,9946.278,9930.446,90.622,75.733,68.07,-24.666,147.94,172.607,1.03E+11,71.787,92.112
04/14/21,9847.62,9937.042,9921.195,68.91,71.801,61.344,-25.952,148.364,174.316,1.03E+11,32.723,88.405
04/13/21,9838.28,9943.062,9938.548,67.668,76.752,60.834,-13.215,161.032,174.247,1.03E+11,33.329,89.005
04/12/2021,9907.62,9922.768,9953.91,78.824,86.076,66.92,4.727,175.809,171.081,1.03E+11,58.915,89.412
04/11/2021,9938.32,9893.569,9951.355,83.764,92.261,69.791,21.286,185.053,163.766,1.03E+11,75.882,89.232
04/08/2021,10012.13,9848.032,9934.939,95.639,97.277,77.182,35.906,191.034,155.127,1.03E+11,112.556,88.827
04/07/2021,10014.3,9788.59,9894.295,97.38,97.481,77.406,42.879,188.374,145.495,1.03E+11,134.436,90.885
04/06/2021,9988.98,9733.568,9843.253,98.813,96.982,76.673,44.946,182.019,137.072,1.03E+11,152.706,93.939
04/05/2021,9964.84,9683.633,9787.735,96.249,94.629,75.984,42.761,173.837,131.076,1.03E+11,172.058,98.325
04/04/2021,9962.77,9641.891,9729.018,95.885,95.756,75.927,35.869,163.323,127.454,1.03E+11,203.595,102.463
04/01/2021,9895.56,9595.499,9662.241,91.754,89.613,74.083,21.385,147.74,126.355,1.03E+11,195.2,100.853
